claim_id,claim_text,classification,source,url,verified
C001,"NOT USED IN SCRIPT (removed 2026-08-26 per user decision): SKMCH&RC's centres have recorded more than 145900 malignant cancer cases (145969 malignant of 157384 total neoplasms) since opening in Lahore on December 29 1994 through the past 31 years -- user could not cleanly verify against the site directly and chose to drop rather than leave unconfirmed",REPORTED,SKMCH&RC official Cancer Statistics page retrieved via Firecrawl search (snippet only reproduced consistently across two separate searches not a full page read),https://shaukatkhanum.org.pk/health-care-professionals-researchers/cancer-statistics/,partial
C002,More than 75% of all patients seen at SKMCH&RC are treated completely free of charge,REPORTED,SKMCH&RC official "Our Story" page retrieved in full via Firecrawl search,https://shaukatkhanum.org.pk/about-us/our-story/,yes
C003,SKMCH&RC has provided deserving patients with Rs125 billion worth of philanthropic care between 1994 and 2025 (superseding both the earlier Rs88bn Dawn figure and the interim Rs137bn/2026 website figure -- this is the precisely-dated audited-report figure),VERIFIED,SKMCH&RC Annual Report 2025 (user-supplied PDF read in full),user-supplied PDF: annual_report_2025.pdf p.11 "Facts and Statistics",yes
C004,SKMCH&RC's cancer registry recorded more than 7300 new cancer cases in 2022 alone,REPORTED,Dawn via WebSearch synthesis only,https://www.dawn.com/news/1082568,no
C005,More than 90% of visitors to the Peshawar campus specifically receive free treatment,REPORTED,Dawn via WebSearch synthesis only; higher than the 75% network-wide figure and not yet reconciled,https://www.dawn.com/news/1823475,no
C006,"SKMT's audited total income was Rs31.93 billion in 2024 and Rs38.25 billion in 2025 (a ~20% rise); this supersedes the earlier Rs34.8bn/2024 Fund Meter figure, which the audited accounts do not match. The hospital's own unaudited 2026 forward figure of Rs43.3 billion was NOT USED IN SCRIPT (removed 2026-08-26 per user decision, since it remains unconfirmed)",VERIFIED,"SKMT audited financial statements, Income and Expenditure Account, year ended December 31 2025 (user-supplied PDF read in full)",user-supplied PDF: annualauditedaccounts2025.pdf Income and Expenditure Account,yes
C007,"Donations and zakat combined made up 64% of SKMT's total income in 2024 (Rs20.48bn of Rs31.93bn) and 67% in 2025 (Rs25.74bn of Rs38.25bn) -- both a stronger and more precise figure than the script's earlier 'more than half' framing",VERIFIED,SKMT audited Income and Expenditure Account (user-supplied PDF read in full),user-supplied PDF: annualauditedaccounts2025.pdf Income and Expenditure Account,yes
C008,"SKMCH&RC's financial statements are audited annually by A.F. Ferguson & Co (a member firm of the PwC network); the FY2025 audit was signed May 19 2026 by engagement partner Muhammad Masood",VERIFIED,"SKMT Independent Auditor's Report (user-supplied PDF read in full -- primary document, letterhead and signature page directly inspected)",user-supplied PDF: annualauditedaccounts2025.pdf Independent Auditor's Report,yes
C026a,"Net Clinical Income (paying-patient revenue) was Rs9.17 billion in 2024 and Rs10.48 billion in 2025 -- about 27% of total 2025 income, far smaller than the donor share, correcting the script's earlier implication that paying patients covered roughly half the budget",VERIFIED,SKMT audited Income and Expenditure Account (user-supplied PDF read in full),user-supplied PDF: annualauditedaccounts2025.pdf Income and Expenditure Account,yes
C009,Patients needing financial support undergo a one-time assessment by SKMCH&RC's Financial Support Services determining a support level up to full free treatment,REPORTED,SKMCH&RC published description via WebSearch synthesis only,https://shaukatkhanum.org.pk/patients-families/financial-assistance-programme/,no
