source_id,title,institution,date,url,tier,notes
S01,Revenue Division Year Book 2024-25,Federal Board of Revenue (FBR),2025,https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,Primary,"Read directly (full-text extraction). Core source for direct/indirect split, withholding tax share, tax-to-GDP ratio FY24-25, withholding-by-category table. Highest-confidence source in this brief."
S02,IMF Country Report No. 25/109: Pakistan,International Monetary Fund,2025,https://www.imf.org/en/-/media/files/publications/cr/2025/english/1pakea2025001-print-pdf.pdf,Primary,"Read directly. EFF review document; FBR/general-government revenue targets, AIT harmonization confirmation and timeline. FY26 general government revenue figure (15.2%) flagged for re-check."
S03,IMF Country Report No. 24/002: Pakistan,International Monetary Fund,2024,https://www.imf.org/-/media/files/publications/cr/2024/english/1pakea2024002.pdf,Primary,"Read directly. Covers the 2023 Stand-By Arrangement review (not the EFF). Used for new-filer registration figures and superseded FY25-29 revenue projection."
S04,7th National Finance Commission (NFC) Award 2010,Government of Pakistan / hosted by KP Finance Department,2010,https://www.finance.gkp.pk/attachments/2da9abc0b38511e9b3c853d7f6bb97a7/download,Primary,"Read directly. Source for vertical (57.5/42.5) and horizontal (population/poverty/revenue/density weights) distribution formulas and province-wise shares."
S05,Revenue Statistics in Asia and the Pacific 2025: Pakistan country note,OECD,2025,https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/06/revenue-statistics-in-asia-and-the-pacific-2025-country-notes_0a069779/pakistan_f7330e74/e3565533-en.pdf,Primary,"Read directly. International-institution comparative statistics; tax-to-GDP vs. Asia-Pacific average, tax revenue composition by economic category, 2023 data."
S06,Tax-to-GDP ratio to stall over five years IMF expects,Dawn Business,2025-2026,https://www.dawn.com/news/1962570,Tier-1 journalism,"Read directly. IMF projections and context on why tax-to-GDP growth is expected to stall; corroborates FBR Yearbook direct/indirect-as-% figures."
S07,Pakistan moves closer to IMF target as tax-to-GDP ratio climbs to 10.6 percent,Arab News,2026,https://www.arabnews.com/node/2609115/pakistan,Tier-1 / international financial journalism with Pakistan coverage,"Read directly. Alternative tax-to-GDP figure (10.6%, national/general-government basis) creating a methodology discrepancy with FBR Yearbook's FBR-only 10.3% -- flagged in brief."
S08,FBR collects Rs1.28 trillion in customs duties in FY25 POL sector leads with 22.7% share,Profit by Pakistan Today,2025-11-10,https://profit.pakistantoday.com.pk/2025/11/10/fbr-collects-rs1-28-trillion-in-customs-duties-in-fy25-pol-sector-leads-with-22-7-share/,Tier-1 journalism,"Search-derived summary. Corroborates customs duty figure and share independently confirmed in FBR Yearbook (S01)."
S09,IMF sets 11 new structural benchmarks for Pakistan including tax reforms asset disclosures,Profit by Pakistan Today,2025-12-12,https://profit.pakistantoday.com.pk/2025/12/12/imf-sets-11-new-structural-benchmarks-for-pakistan-including-tax-reforms-asset-disclosures/,Tier-1 journalism,"Search-derived summary. Context for Part 7 IMF conditionality discussion; not independently opened in full."
S10,Beyond tax-to-GDP ratio (opinion),Business Recorder,2025-2026,https://www.brecorder.com/news/40433657/beyond-tax-to-gdp-ratio,Tier-1 journalism,"DISCARDED -- returned HTTP 403 on direct fetch, could not confirm author or quotes. Not cited in brief."
S11,"Tax Laws (Amendment) Bill 2024 / Section 114C coverage (multiple articles)",Business Recorder / Express Tribune / PropPakistani / 24NewsHD / pkrevenue.com,2024-2026,https://www.brecorder.com/news/40347574/tax-laws-bill-na-panel-defers-sec-114c-until-fbr-system-overhaul,Tier-1 journalism,"Search-synthesized across multiple outlets, all converging on the same statutory description of Section 114C restrictions and its deferral. Used for filer/non-filer restriction regime detail."
S12,The Tax Laws (Amendment) Act 2024 (client memo),RSM Pakistan,2024,"https://www.rsm.global/pakistan/sites/default/files/media/documents/Tax%20Amendment%20Act,%202024_0.pdf",Secondary,"Found in search results, not directly opened. Professional-services advisory memo; would be useful for a follow-up direct read of full Section 114C text before scripting."
S13,Sindh Revenue Board Annual Report 2024-25,Sindh Revenue Board (SRB),2026-01,https://www.srb.gos.pk/srb/wp-content/uploads/2026/01/AnnualReport-2024-25-updated_opt.pdf,"Primary (attempted, not successfully read)","DISCARDED for direct use -- full-text extraction returned no usable content. SRB figures instead sourced via S14 (Tier-1 journalism reporting SRB's own released numbers)."
S14,"Sindh Revenue Board collection reporting (multiple articles)",Profit by Pakistan Today / Business Recorder / pkrevenue.com,2025-2026,https://profit.pakistantoday.com.pk/2026/07/02/sindh-revenue-board-collects-rs370-billion-in-taxes-in-fy26,Tier-1 journalism,"Search-synthesized. Source for SRB FY24-25 collection figures used in brief since primary annual report (S13) could not be read."
S15,PRA sets historic record with Rs 368b tax collection,Associated Press of Pakistan (APP) / Profit by Pakistan Today,2026-07,https://www.app.com.pk/business/pra-sets-historic-record-with-rs-368b-tax-collection/,Tier-1 journalism (APP is the state news agency),"Search-derived. Source for Punjab Revenue Authority FY24-25 and FY25-26 collection figures."
S16,KP Revenue Authority exceeds tax target by Rs 4.56 billion collects Rs 51.56 billion for FY 2024-25,Profit by Pakistan Today,2025-07-02,https://profit.pakistantoday.com.pk/2025/07/02/kp-revenue-authority-exceeds-tax-target-by-rs-4-56-billion-collects-rs-51-56-billion-for-fy-2024-25/,Tier-1 journalism,"Search-derived, corroborated by KPRA's own press releases on kpra.gov.pk. Highest-confidence of the three provincial collection figures obtained."
S17,KPRA collects Rs24.2 billion in first half of FY2024-25 / Rs41.9 billion in first ten months,Khyber Pakhtunkhwa Revenue Authority (KPRA),2024-2025,https://kpra.gov.pk/kpra-collects-rs24-2-billion-in-first-half-of-fiscal-year-2024-25-showing-45-growth/,Primary (authority's own press release),"Search-derived summary of KPRA's own releases; corroborates S16's full-year figure trajectory."
S18,Pakistan's Tax System: Advancements Challenges and Trillion-Dollar Future,PIDE (Pakistan Institute of Development Economics),n.d.,https://pide.org.pk/research/pakistans-tax-system-advancements-challenges-and-trillion-dollar-future/,Secondary,"DISCARDED for direct citation -- returned HTTP 403 on direct fetch. Only search-engine summary available, deemed insufficient for a load-bearing claim per research rules."
S19,Pakistan's Filer vs Non-Filer Divide: A Tax Policy Outlier,Economic Policy and Business Development Think Tank (EPBDT),n.d.,https://epbdt.org.pk/pakistans-filer-vs-non-filer-divide-a-tax-policy-outlier/,Secondary,"Read directly (limited content returned). Source of the 'Pakistan is a global outlier' framing -- treated as ANALYSIS/opinion, not independently verified against other countries' tax codes."
S20,"Real estate DC/FBR valuation rate vs. market rate gap (multiple articles)",icons.com.pk / chakorventures.com / malikjunaid.com / abs-developers.com / manahilestate.com,2025-2026,https://malikjunaid.com/dc-value-of-property-in-pakistan/,Secondary (real estate industry / commercial),"Search-derived. Low-reliability tier -- commercially motivated real estate advisory content, not FBR/PIDE/academic. Flagged VERIFY in brief; use only qualitatively if at all."
S21,"Informal economy size estimates (multiple sources)",Ministry of Finance / World Bank / ILO / academic monetary-approach study,2022-2026,https://www.worldeconomics.com/Informal-Economy/Pakistan.aspx,Mixed (Primary/Tier-4/Secondary),"Search-synthesized only -- no single primary report opened directly. Estimates range 35-59% of GDP with no methodological convergence. Flagged VERIFY in brief."
S22,Digital census: Pakistan's population surges to 241.49 million,"Pakistan Bureau of Statistics (PBS), reported via Geo News",2023-2024,https://www.geo.tv/latest/503433-digital-census-pakistans-population-surges-to-24141-million,Tier-1 journalism reporting a Primary source,"Search-derived reporting of PBS's own 2023 census figure; PBS document itself not directly opened."
S23,"Active Taxpayer List / filer count reporting (multiple sources)",TaxationPk / Arab News / various tax-advisory sites,2021-2026,https://news.taxationpk.com/inside-the-numbers-pakistan-hits-8-2-million-active-taxpayers/,Secondary / Tier-1 mixed,"Search-synthesized. Conflicting figures for the same nominal years; flagged VERIFY in brief -- recommend pulling directly from FBR's ATL portal before scripting."
S24,"NFC award history and 8th/9th NFC status (multiple sources)",Dawn / PIDE / SDPI / Wikipedia,2010-2025,https://en.wikipedia.org/wiki/National_Finance_Commission_Award,Mixed Tier-1/Secondary,"Search-synthesized corroboration that no NFC award has superseded the 7th since 2010. Current (2026) status not confirmed by a single dated primary statement -- flagged VERIFY."
S25,18th Amendment fiscal federalism / federal-provincial tax jurisdiction reporting,Business Recorder / Dawn,2010-2025,https://www.brecorder.com/news/40372091,Tier-1 journalism,"Search-synthesized. Basis for the federal/provincial tax split description in the brief; constitutional primary text (Fourth Schedule) was not directly opened (see discarded sources)."
S26,Distinction between filers and non-filers,Business Recorder,2018-2024,https://www.brecorder.com/news/4208456,Tier-1 journalism,"Search-derived. Source for Finance Act 2014 origin of the filer/non-filer distinction."
S27,Sales tax on services: dispute between provinces,Dawn,n.d.,https://www.dawn.com/news/1099651,Tier-1 journalism,"Search-derived. Source for the Punjab/KP destination-basis vs. Sindh origin-basis services-tax jurisdictional dispute."
S28,Balochistan Revenue Authority (BRA) overview and statute summary,TaxationPk / Graana.com,n.d.,https://taxationpk.com/balochistan-revenue-authority/,Secondary,"Search-derived. Source for BRA's 1 July 2015 Sales Tax on Services commencement date. BRA's FY24-25 collection figure was RESOLVED 2026-08-28 via S33 (Rs 23.2 billion) -- see V4 resolution in brief."
S29,Pakistan Tax Revenue: % of GDP,CEIC Data,ongoing,https://www.ceicdata.com/en/indicator/pakistan/tax-revenue--of-gdp,Secondary (data aggregator),"DISCARDED -- appeared in search results but not opened; paywalled third-party aggregator. FBR Yearbook (S01) and OECD note (S05) preferred as primary/near-primary alternatives."
S30,Economy of Pakistan / 2024-25 Pakistan federal budget / National Finance Commission Award,Wikipedia,ongoing,https://en.wikipedia.org/wiki/Economy_of_Pakistan,Secondary,"Not cited directly per research rules on source hierarchy; used informally only to cross-check dates already corroborated by Tier-1/Primary sources above."
S31,Pakistan Economic Survey 2025-26 (complete document),Ministry of Finance (Government of Pakistan),2026-06,https://www.finance.gov.pk/survey/chapter_26/Complete_PES2025_26.pdf,Primary,"Read directly, Ch.4 'Fiscal Development' pp.63-79 extracted and reviewed. Standard WebFetch tool returned HTTP 403; a direct HTTPS request with a browser user-agent succeeded (56MB PDF, 376 pages). Table 4.2 confirms FY2024-25 direct/indirect tax split (49.3%/50.7%) exactly matches the FBR Yearbook (S01), and gives the FY2017-FY2026(BE) historical time series used to resolve V2."
S32,Pakistan Economic Survey 2021-22 -- Chapter 4 Fiscal Development,Ministry of Finance (Government of Pakistan),2022-06,https://www.finance.gov.pk/survey/chapter_22/PES04-FISCAL.pdf,Primary,"Read directly (22-page chapter PDF, browser user-agent required to bypass 403). Source of the original '>60% indirect tax' figure (p.69) -- confirmed as accurate for FY2020-21 (63.5% indirect/36.5% direct), not FY2024-25. Used to resolve V2 in the 2026-08-28 follow-up pass."
S33,Punjab tops with 36.74% GST collection growth in FY26,pkrevenue.com,2026-07,https://pkrevenue.com/punjab-gst-collection-growth-fy26/,Tier-5 (specialized Pakistani tax/revenue business journalism),"Read directly (not just a search snippet). Source for Balochistan Revenue Authority's FY2024-25 collection figure (Rs 23.2 billion) used to resolve V4; also gives FY2025-26 figures for all four provincial revenue authorities."
S34,BRA downloads page (statutes/rules/forms/circulars index),Balochistan Revenue Authority (BRA),n.d. (checked 2026-08-28),https://www.ebra.com.pk/downloads,Primary (checked, no relevant document found),"Read directly. Confirmed BRA's own website does not publish an annual report or FY2024-25 collection-statistics document among its ~155 listed downloads -- no primary corroboration available for the BRA collection figure beyond S33."
