source_id,title,institution,date,url,tier,notes
S01,Energy sector circular debt widens to nearly Rs5.3 trillion in FY2025-26,The Nation,2026-08-19,https://www.nation.com.pk/19-Aug-2026/energy-sector-circular-debt-widens-nearly-rs5-3-trillion-fy2025-26,Tier-1 journalism,"Directly fetched and read in full this session. Combined Rs5.286tn figure; power Rs1.675tn; gas Rs3.611tn; cites IMF EFF/RSF review figures. Does not name the specific ministry/report the combined figure originates from — VERIFY."
S02,Power sector circular debt rises by Rs61bn to Rs1.675tr in FY26,The News,2026-08-19,https://www.thenews.pk/print/1432664-power-sector-circular-debt-rises-by-rs61bn-to-rs1-675tr-in-fy26,Tier-1 journalism,"Directly fetched and read in full. Power Division data: FY26 debt breakdown by driver, K-Electric receivables detail, subsidy/loan-repayment offsets."
S03,Circular debt jumps by Rs364b,Express Tribune,2026,https://tribune.com.pk/story/2624098/circular-debt-jumps-by-rs364b,Tier-1 journalism,"Directly fetched and read in full. Gross FY26 flow Rs364bn vs prior year Rs319bn; corroborates The News's driver breakdown."
S04,High receivables weigh on gas utility,Express Tribune,2026,https://tribune.com.pk/story/2615670/high-receivables-weigh-on-gas-utility,Tier-1 journalism,"Directly fetched and read in full. SNGPL Rs819bn burden and pricing-driven cause; debt accumulating since FY2013; contains some internally inconsistent figures (Rs1,095bn/Rs931bn) not used in the brief pending verification."
S05,SNGPL Receivables Mount as Govt Seeks Payment Plan from Power Division,EnergyUpdate.com.pk,2026,https://www.energyupdate.com.pk/sngpl-receivables-mount-as-govt-seeks-payment-plan-from-power-division/,Tier-1 journalism (energy trade press),"Directly fetched and read in full. Rs2,000/MMBtu vs Rs3,498-4,375/MMBtu diversion pricing detail with direct Petroleum Division quote; payment-plan deadline of 2026-06-30."
S06,ECC approves Rs200b power subsidy to keep circular debt within IMF-agreed limits,Express Tribune,2026,https://tribune.com.pk/story/2582851/ecc-approves-rs200b-power-subsidy-to-keep-circular-debt-within-imf-agreed-limits,Tier-1 journalism,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY. Rs200bn ECC grant; IMF Rs300-325bn flow-limit figure; Rs491bn six-month projected increase."
S07,SNGPL warns Liberty Daharki Power of gas supply suspension over Rs20 billion in unpaid dues,Profit by Pakistan Today,2025-12-23,https://profit.pakistantoday.com.pk/2025/12/23/sngpl-warns-liberty-daharki-power-of-gas-supply-suspension-over-rs20-billion-in-unpaid-dues/,Tier-1 journalism,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY. Key hook case: LDPL Rs20.029bn dues vs Rs3.085bn security deposit."
S08,Despite SNGPL warning: LDPL says unable to pay dues on time,Business Recorder,2025,https://www.brecorder.com/news/40350719/despite-sngpl-warning-ldpl-says-unable-to-pay-dues-on-time,Tier-1 journalism,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY. Source of the single most load-bearing quote: LDPL blames limited CPPA-G payments."
S09,Payment dispute with SNGPL: LDPL serves notice of force majeure under PPA,Business Recorder,2023 (reported March 2023),https://www.brecorder.com/news/40233316/payment-dispute-with-sngpl-ldpl-serves-notice-of-force-majeure-under-ppa,Tier-1 journalism,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY. Chronology vs. the October 2021 PPA amendment reads as inconsistent; needs a direct read to resolve."
S10,Mounting SNGPL receivables: Power Division asked to provide payment plan,Business Recorder,2026,https://www.brecorder.com/news/40435145/mounting-sngpl-receivables-power-division-asked-to-provide-payment-plan,Tier-1 journalism,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY. Source of the CPPA-G root-cause quote (C017)."
S11,Rs76.5 billion in outstanding dues from power sector pushes SNGPL into liquidity crisis,Profit by Pakistan Today,2025-08-09,https://profit.pakistantoday.com.pk/2025/08/09/rs76-5-billion-in-outstanding-dues-from-power-sector-pushes-sngpl-into-liquidity-crisis/,Tier-1 journalism,"Direct fetch not attempted (expected 403 based on other Profit URLs this session). Via WebSearch synthesis only — VERIFY."
S12,SNGPL Warns of Severe Liquidity Crisis as Power Sector Dues Top Rs76.5bn,EnergyUpdate.com.pk,2025-08-09,https://www.energyupdate.com.pk/2025/08/09/sngpl-warns-of-severe-liquidity-crisis-as-power-sector-dues-top-rs76-5bn/,Tier-1 journalism (energy trade press),"Via WebSearch synthesis only — VERIFY. Corroborates S11 and provides the WAPDA/IPP plant-by-plant breakdown (C018)."
